Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
https://www.baidu.com/sugrec?prod=pc_his&from=pc_web&json=1&sid=34067_31253_34845_34594_34584_34505_34831_26350_34828_34473_34677&hisdata=%5B%7B%22time%22%3A1627222188%2C%22kw%22%3A%22transformtalotance%22%7D%2C%7B%22time%22%3A1627222200%2C%22kw%22%3A%22transform%20taflotance%22%7D%2C%7B%22time%22%3A1627222209%2C%22kw%22%3A%22transform%20ros%22%7D%2C%7B%22time%22%3A1627222227%2C%22kw%22%3A%22transform%20rostorlance%22%7D%2C%7B%22time%22%3A1627381294%2C%22kw%22%3A%22python%20t%E8%AE%B2%E8%A7%A3%22%7D%2C%7B%22time%22%3A1627381329%2C%22kw%22%3A%22python%20%E8%AE%B2%E8%A7%A3tkinter%22%7D%2C%7B%22time%22%3A1627392572%2C%22kw%22%3A%22%E6%A3%80%E6%B5%8B%E4%B8%AD%E5%BF%83%E8%BD%A6%E9%81%93%E7%BA%BF%E6%96%B9%E6%B3%95%22%7D%2C%7B%22time%22%3A1627392617%2C%22kw%22%3A%22%E8%BE%B9%E7%BC%98%E6%A3%80%E6%B5%8B%E4%B8%AD%E5%BF%83%E8%BD%A6%E9%81%93%E7%BA%BF%22%7D%2C%7B%22time%22%3A1627392787%2C%22kw%22%3A%22%E8%BD%A6%E9%81%93%E9%A2%9C%E8%89%B2%E8%AF%86%E5%88%AB%22%7D%2C%7B%22time%22%3A1627641420%2C%22kw%22%3A%22%E4%B8%AD%E5%9B%BD%E5%9C%B0%E8%B4%A8%E5%A4%A7%E5%AD%A6%E6%A0%A1%E5%BE%BD%E9%AB%98%E6%B8%85%E5%9B%BE%E7%89%87%22%7D%5D&_t=1634392651577&req=2&sc=eb&csor=0,50,439,72,3204,616.90,0.000%,12.36400,10.00,18.59,828.4
https://www.baidu.com/s?ie=utf-8&newi=1&mod=11&isbd=1&isid=52C4BBA153359668&wd=jmeter&rsv_spt=1&rsv_iqid=0xb06337a6002a999e&issp=1&f=8&rsv_bp=1&rsv_idx=2&ie=utf-8&tn=baiduhome_pg&rsv_enter=1&rsv_dl=ib&rsv_sug3=1&rsv_sug1=1&rsv_sug7=001&rsv_sid=34067_31253_34845_34594_34584_34505_34831_26350_34828_34473_34677&_ss=1&clist=&hsug=&csor=6&pstg=5&_cr1=25590,50,4907,1791,8835,1370.17,0.000%,5.47885,1537.20,24.12,287303.2
"https://www.baidu.com/sugrec?pre=1&p=3&ie=utf-8&json=1&prod=pc&from=pc_web&sugsid=34067,31253,34845,34594,34584,34505,34831,26350,34828,34473,34677&wd=jmeter&req=2&csor=6&cb=jQuery1102042027661867266963_1634392632766&_=1634392632767",50,68,44,286,60.14,0.000%,7.55515,5.71,6.03,774.0
https://www.baidu.com/s?ie=utf-8&newi=1&mod=1&isbd=1&isid=52C4BBA153359668&wd=jmeter&rsv_spt=1&rsv_iqid=0xb06337a6002a999e&issp=1&f=8&rsv_bp=1&rsv_idx=2&ie=utf-8&tn=baiduhome_pg&rsv_enter=1&rsv_dl=tb&rsv_sug3=2&rsv_sug1=2&rsv_sug7=101&rsv_sug2=0&rsv_btype=i&inputT=1403&rsv_sug4=4037&rsv_sid=34067_31253_34845_34594_34584_34505_34831_26350_34828_34473_34677&_ss=1&clist=&hsug=&f4s=1&csor=6&_cr1=29619,50,166,77,1172,183.58,0.000%,7.50751,44.40,38.49,6055.6
https://www.baidu.com/s?ie=utf-8&csq=1&pstg=20&mod=2&isbd=1&cqid=c86152f5003360ca&istc=761&ver=Rd2tHQYF0O0ajeqcp_KDn39Z2rR5ZSePDYS&chk=616ada50&isid=52C4BBA153359668&wd=jmeter&rsv_spt=1&rsv_iqid=0xb06337a6002a999e&issp=1&f=8&rsv_bp=1&rsv_idx=2&ie=utf-8&tn=baiduhome_pg&rsv_enter=1&rsv_dl=tb&rsv_sug3=2&rsv_sug1=2&rsv_sug7=101&rsv_sug2=0&rsv_btype=i&inputT=1403&rsv_sug4=4037&f4s=1&_ck=1395.0.-1.-1.-1.-1.-1&rsv_isid=34067_31253_34845_34594_34584_34505_34831_26350_34828_34473_34677&isnop=1&rsv_stat=-2&rsv_bp=1,50,174,79,2685,370.66,0.000%,7.68521,342.88,42.79,45685.8
搜索事务,50,5755,3011,9165,1144.39,0.000%,5.29101,1760.12,92.06,340647.1
总体,300,1918,44,9165,2553.42,0.000%,31.74603,3520.25,184.12,113549.0
